14,15,16,17,18,19,13,14,15,16,17,18,19,13,14,15,16,17,18,19,13,14,15,16,17,18,19,13,14,15,16,17,18,19,13,14,15,16,17,18,19,13,14,15,16,17,18,19,13,14,15,16,17,18,19,13,14,15,16,17,18,19,13,14,15,16,17,18,19,13,14,15,16,17,18,19,13,14,15,16,17,18,19,13,14,15,16,17,18,19,13,14,15,16,17,18,19,13,14,15,16,17,18,19,13,14,15,16,17,18,19,13,14,15,16,17,18,19,13,14,15,16,17,18,19,13,14,15,16,17,18,19,13,14,15,16,17,18,19,13,14,15,16,17,18,19,13,14,15,16,17,18,19,13,14,15,16,17,18,19,13,14,15,16,17,18,19,13,14,15,16,17,18,19,13,14,15,16,17,18,19,13,14,15,16,17,18,19,13,14,15,16,17,18,19,13,14,15,16,17,18,19,13,14,15,16,17,18,19,13,14,15,16,17,18,19,13,14,15,16,17,18,19,13,14,15,16,17,18,19,13,14,15,16,17,18,19,13,14,15,16,17,18,19,13,14,15,16,17,18,19
104,105,106,107,108,109,103,104,105,106,107,108,109,103,104,105,106,107,108,109,103,104,105,106,107,108,109,103,104,105,106,107,108,109,103,104,105,106,107,108,109,103,104,105,106,107,108,109,103,104,105,106,107,108,109,103,104,105,106,107,108,109,103,104,105,106,107,108,109,103,104,105,106,107,108,109,103,104,105,106,107,108,109,103,104,105,106,107,108,109,103,104,105,106,107,108,109,103,104,105,106,107,108,109,103,104,105,106,107,108,109,103,104,105,106,107,108,109,103,104,105,106,107,108,109,103,104,105,106,107,108,109,103,104,105,106,107,108,109,103,104,105,106,107,108,109,103,104,105,106,107,108,109,103,104,105,106,107,108,109,103,104,105,106,107,108,109,103,104,105,106,107,108,109,103,104,105,106,107,108,109,103,104,105,106,107,108,109,103,104,105,106,107,108,109,103,104,105,106,107,108,109,103,104,105,106,107,108,109,103,104,105,106,107,108,109,103,104,105,106,107,108,109,103,104,105,106,107,108,109,103,104,105,106,107,108,109,103,104,105,106,107,108,109,103,104,105,106,107,108,109
464,465,466,467,468,469,463,464,465,466,467,468,469,463,464,465,466,467,468,469,463,464,465,466,467,468,469,463,464,465,466,467,468,469,463,464,465,466,467,468,469,463,464,465,466,467,468,469,463,464,465,466,467,468,469,463,464,465,466,467,468,469,463,464,465,466,467,468,469,463,464,465,466,467,468,469,463,464,465,466,467,468,469,463,464,465,466,467,468,469,463,464,465,466,467,468,469,463,464,465,466,467,468,469,463,464,465,466,467,468,469,463,464,465,466,467,468,469,463,464,465,466,467,468,469,463,464,465,466,467,468,469,463,464,465,466,467,468,469,463,464,465,466,467,468,469,463,464,465,466,467,468,469,463,464,465,466,467,468,469,463,464,465,466,467,468,469,463,464,465,466,467,468,469,463,464,465,466,467,468,469,463,464,465,466,467,468,469,463,464,465,466,467,468,469,463,464,465,466,467,468,469,463,464,465,466,467,468,469,463,464,465,466,467,468,469,463,464,465,466,467,468,469,463,464,465,466,467,468,469,463,464,465,466,467,468,469,463,464,465,466,467,468,469,463,464,465,466,467,468,469
554,555,556,557,558,559,553,554,555,556,557,558,559,553,554,555,556,557,558,559,553,554,555,556,557,558,559,553,554,555,556,557,558,559,553,554,555,556,557,558,559,553,554,555,556,557,558,559,553,554,555,556,557,558,559,553,554,555,556,557,558,559,553,554,555,556,557,558,559,553,554,555,556,557,558,559,553,554,555,556,557,558,559,553,554,555,556,557,558,559,553,554,555,556,557,558,559,553,554,555,556,557,558,559,553,554,555,556,557,558,559,553,554,555,556,557,558,559,553,554,555,556,557,558,559,553,554,555,556,557,558,559,553,554,555,556,557,558,559,553,554,555,556,557,558,559,553,554,555,556,557,558,559,553,554,555,556,557,558,559,553,554,555,556,557,558,559,553,554,555,556,557,558,559,553,554,555,556,557,558,559,553,554,555,556,557,558,559,553,554,555,556,557,558,559,553,554,555,556,557,558,559,553,554,555,556,557,558,559,553,554,555,556,557,558,559,553,554,555,556,557,558,559,553,554,555,556,557,558,559,553,554,555,556,557,558,559,553,554,555,556,557,558,559,553,554,555,556,557,558,559
644,645,646,647,648,649,643,644,645,646,647,648,649,643,644,645,646,647,648,649,643,644,645,646,647,648,649,643,644,645,646,647,648,649,643,644,645,646,647,648,649,643,644,645,646,647,648,649,643,644,645,646,647,648,649,643,644,645,646,647,648,649,643,644,645,646,647,648,649,643,644,645,646,647,648,649,643,644,645,646,647,648,649,643,644,645,646,647,648,649,643,644,645,646,647,648,649,643,644,645,646,647,648,649,643,644,645,646,647,648,649,643,644,645,646,647,648,649,643,644,645,646,647,648,649,643,644,645,646,647,648,649,643,644,645,646,647,648,649,643,644,645,646,647,648,649,643,644,645,646,647,648,649,643,644,645,646,647,648,649,643,644,645,646,647,648,649,643,644,645,646,647,648,649,643,644,645,646,647,648,649,643,644,645,646,647,648,649,643,644,645,646,647,648,649,643,644,645,646,647,648,649,643,644,645,646,647,648,649,643,644,645,646,647,648,649,643,644,645,646,647,648,649,643,644,645,646,647,648,649,643,644,645,646,647,648,649,643,644,645,646,647,648,649,643,644,645,646,647,648,649
734,735,736,737,738,739,733,734,735,736,737,738,739,733,734,735,736,737,738,739,733,734,735,736,737,738,739,733,734,735,736,737,738,739,733,734,735,736,737,738,739,733,734,735,736,737,738,739,733,734,735,736,737,738,739,733,734,735,736,737,738,739,733,734,735,736,737,738,739,733,734,735,736,737,738,739,733,734,735,736,737,738,739,733,734,735,736,737,738,739,733,734,735,736,737,738,739,733,734,735,736,737,738,739,733,734,735,736,737,738,739,733,734,735,736,737,738,739,733,734,735,736,737,738,739,733,734,735,736,737,738,739,733,734,735,736,737,738,739,733,734,735,736,737,738,739,733,734,735,736,737,738,739,733,734,735,736,737,738,739,733,734,735,736,737,738,739,733,734,735,736,737,738,739,733,734,735,736,737,738,739,733,734,735,736,737,738,739,733,734,735,736,737,738,739,733,734,735,736,737,738,739,733,734,735,736,737,738,739,733,734,735,736,737,738,739,733,734,735,736,737,738,739,733,734,735,736,737,738,739,733,734,735,736,737,738,739,733,734,735,736,737,738,739,733,734,735,736,737,738,739
824,825,826,827,828,829,823,824,825,826,827,828,829,823,824,825,826,827,828,829,823,824,825,826,827,828,829,823,824,825,826,827,828,829,823,824,825,826,827,828,829,823,824,825,826,827,828,829,823,824,825,826,827,828,829,823,824,825,826,827,828,829,823,824,825,826,827,828,829,823,824,825,826,827,828,829,823,824,825,826,827,828,829,823,824,825,826,827,828,829,823,824,825,826,827,828,829,823,824,825,826,827,828,829,823,824,825,826,827,828,829,823,824,825,826,827,828,829,823,824,825,826,827,828,829,823,824,825,826,827,828,829,823,824,825,826,827,828,829,823,824,825,826,827,828,829,823,824,825,826,827,828,829,823,824,825,826,827,828,829,823,824,825,826,827,828,829,823,824,825,826,827,828,829,823,824,825,826,827,828,829,823,824,825,826,827,828,829,823,824,825,826,827,828,829,823,824,825,826,827,828,829,823,824,825,826,827,828,829,823,824,825,826,827,828,829,823,824,825,826,827,828,829,823,824,825,826,827,828,829,823,824,825,826,827,828,829,823,824,825,826,827,828,829,823,824,825,826,827,828,829
1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264
30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,40,41,42,43,44,45,46,47,48,49,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,40,41,42,43,44,45,46,47,48,49,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,30,31,32,33,34,35
120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,130,131,132,133,134,135,136,137,138,139,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,130,131,132,133,134,135,136,137,138,139,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,120,121,122,123,124,125
